ผศ.ดร.กิตติเวช ขันติยวิชัย (ผู้อำนวยการสถาบันแหล่งน้ำและสิ่งแวดล้อม),โครงการศึกษาติดตามและประเมินผลการบริหารจัดการทรัพยากรน้ำ
รศ.ดร.ศุภสิทธิ์ คนใหญ่ (สาขาวิชาวิศวกรรมเกษตร),โปรแกรมและแอปพลิเคชั่นเฝ้าระวังภัยน้ำท่วมภายใต้แบบจำลองอุทกวิทยา
รศ. ดร. อนุสรณ์ ชินสุวรรณ (สาขาวิชาวิศกรรมเครื่องกล),ระบบต้นแบบเพื่อผลิตน้ำแข็งให้เกิดประสิทธิภาพ
อุปกรณ์สำหรับเคลือบผิวโลหะด้วยไฟฟ้าแบบพกพา,พัฒนาอุปกรณ์เคลือบผิวโลหะแบบพกพา
จีโอโพลิเมอร์คอนกรีตพรุน,วิจัยพัฒนาคอนกรีตพรุนด้วยเทคโนโลยีจีโอโพลิเมอร์
Wireless Internet of Things WIoT using LoRaWAN Technology,พัฒนาระบบอินเทอร์เน็ตของสรรพสิ่งแบบไร้สาย
ระบบควบคุมน้ำอัตโนมัติเลี้ยงปลานิลในบ่อน้ำระบบหมุนเวียน,พัฒนาระบบเลี้ยงปลานิลอัตโนมัติ
เครื่อง NIR วัดคุณภาพมันสำปะหลังแบบรวดเร็ว,พัฒนาเครื่องมือวัดคุณภาพมันสำปะหลัง
เตาปิ้งย่างไร้ควัน (Smokeless grilled stove),ออกแบบเตาปิ้งย่างที่ลดมลพิษ
การให้บริการตรวจวัดสภาพไร่ด้วยภาพถ่ายทางอากาศจากโดรน,พัฒนาระบบสำรวจไร่ด้วยโดรน
ต้นแบบ Negative Patient Transfer Bed,พัฒนาเตียงเคลื่อนย้ายผู้ป่วยความดันลบ
อุปกรณ์ตู้ UVC และ UVC station เพื่อฆ่าเชื้อไวรัสบนหน้ากากอนามัย,พัฒนาอุปกรณ์ฆ่าเชื้อโรค
รศ.ดร.ปาพจน์ เจริญอภิบาล (สาขาวิชาวิศวกรรมอุตสาหการ),อุปกรณ์สำหรับเคลือบผิวโลหะด้วยไฟฟ้าแบบพกพา
อ.ดร. อำพล วงศ์ษา (สาขาวิชาวิศวกรรมโยธา),จีโอโพลิเมอร์คอนกรีตพรุน
รศ.ดร.ศราวุธ ชัยมูล (สาขาวิชาวิศวกรรมไฟฟ้า),Wireless Internet of Things WIoT using LoRaWAN Technology
รศ.ดร.ศราวุธ ชัยมูล (สาขาวิชาวิศวกรรมไฟฟ้า),ระบบควบคุมน้ำอัตโนมัติเลี้ยงปลานิลในบ่อน้ำระบบหมุนเวียน
ผศ.ดร. เจษฎา โพธิ์สม (สาขาวิชาวิศวกรรมเกษตร),เครื่อง NIR วัดคุณภาพมันสำปะหลังแบบรวดเร็ว
รศ.ดร.กันยรัตน์ โหละสุต (สาขาวิชาวิศวกรรมเคมี),เตาปิ้งย่างไร้ควัน (Smokeless grilled stove)
รศ.ดร.ขวัญตรี แสงประชาธนารักษ์ (สาขาวิชาวิศวกรรมเกษตร),การให้บริการตรวจวัดสภาพไร่ด้วยภาพถ่ายทางอากาศจากโดรน
วนิดา แก่นอากาศ,รองคณบดีฝ่ายวิจัย นวัตกรรม และการต่างประเทศ
ใครคือรองคณบดีฝ่ายวิจัย นวัตกรรม และการต่างประเทศ,ศาสตราจารย์วนิดา แก่นอากาศ
อีเมลของรองคณบดีฝ่ายวิจัยคือ,wanida@kku.ac.th
ใครคือผู้ช่วยคณบดีฝ่ายบัณฑิตศึกษาและวิเทศสัมพันธ์,รองศาสตราจารย์ปนิทัศน์ สุรียธนาภาส
หัวหน้างานวิจัย บัณฑิตศึกษาและการต่างประเทศคือใคร,สุกัญญา วรรณสิทธิ์
เบอร์โทรภายในของสุกัญญา วรรณสิทธิ์,45601
หัวหน้าหน่วยส่งเสริมวิจัยและนวัตกรรมคือใคร,จตุพร พิทักษ์พลรัตน์
อีเมลของจตุพร พิทักษ์พลรัตน์,pjatup@kku.ac.th
ผู้ดูแลงานวารสารการตีพิมพ์คือใคร,นันทวรรณ ชาญวิชา
หัวหน้าหน่วยการต่างประเทศคือใคร,บุษราภรณ์ อินทร์ตาแสง
เบอร์โทรภายในของบุษราภรณ์ อินทร์ตาแสง,50215
ใครรับผิดชอบงานทรัพย์สินทางปัญญาและเครื่องมือวิจัย,หทัยภัทร ไชยนาพันธ์
เบอร์โทรภายในของหทัยภัทร ไชยนาพันธ์,50217
อีเมลของหทัยภัทร ไชยนาพันธ์,hatach@kku.ac.th
ใครรับผิดชอบงานการต่างประเทศ,ทิพากร ชัยสงค์
เบอร์โทรภายในของทิพากร ชัยสงค์,45641
อีเมลของทิพากร ชัยสงค์,tipach@kku.ac.th
หน่วยงานที่รับผิดชอบทุนวิจัย,หน่วยส่งเสริมวิจัยและนวัตกรรม
ประเภทของทุนวิจัยที่สนับสนุน,กองทุนวิจัยคณะฯ / ทุนวิจัยภายนอก มข. / ทุนวิจัยและการสนับสนุนผลงานด้านการวิจัย จาก มข.
หน่วยงานที่ดูแลเรื่อง MOU ภาษาไทย,งานวิจัย บัณฑิตศึกษาและการต่างประเทศ
หน่วยงานที่ดูแลเรื่อง MOU ภาษาอังกฤษ,หน่วยการต่างประเทศ
หน่วยงานใดรับผิดชอบเรื่องวารสารการตีพิมพ์,หน่วยส่งเสริมวิจัยและนวัตกรรม
ชื่อผู้รับผิดชอบงานวารสารการตีพิมพ์,นันทวรรณ ชาญวิชา
เบอร์โทรติดต่อนันทวรรณ ชาญวิชา,45600
หน่วยงานที่ดูแลทุนอุดหนุนระดับตรี โท เอก,หน่วยส่งเสริมวิจัยและนวัตกรรม
ใครสามารถให้คำปรึกษาเรื่อง MOU ภาษาไทย,สุกัญญา วรรณสิทธิ์
ใครสามารถให้คำปรึกษาเรื่อง MOU ภาษาอังกฤษ,บุษราภรณ์ อินทร์ตาแสง
หน่วยงานหลักที่ดูแลด้านการวิจัยของคณะวิศวกรรมศาสตร์,หน่วยส่งเสริมวิจัยและนวัตกรรม
ช่องทางการติดต่อหน่วยการต่างประเทศ,อีเมล kookkai@kku.ac.th หรือโทร 50215
หน่วยงานที่รับผิดชอบเรื่องทรัพย์สินทางปัญญา,หน่วยส่งเสริมวิจัยและนวัตกรรม
ช่องทางการติดต่อเรื่องทรัพย์สินทางปัญญา,หทัยภัทร ไชยนาพันธ์ โทร 50217
หน่วยงานที่ให้การสนับสนุนทุนวิจัยภายในมหาวิทยาลัย,กองทุนวิจัยคณะวิศวกรรมศาสตร์
ประเภทของทุนวิจัยที่มีการสนับสนุน,ทุนวิจัยภายนอก มข. / ทุนอุดหนุนระดับตรี โท เอก
ช่องทางการติดต่อเรื่องทุนวิจัย,จตุพร พิทักษ์พลรัตน์ โทร 50216
หน่วยงานที่ให้คำปรึกษาเรื่องเครื่องมือวิจัย,หน่วยส่งเสริมวิจัยและนวัตกรรม
ผู้รับผิดชอบงานเครื่องมือวิจัย,หทัยภัทร ไชยนาพันธ์
ช่องทางการติดต่อเรื่องเครื่องมือวิจัย,อีเมล hatach@kku.ac.th หรือโทร 50217
หน่วยงานที่ดูแลการตีพิมพ์ผลงานวิชาการ,หน่วยส่งเสริมวิจัยและนวัตกรรม
ผู้ประสานงานด้านการตีพิมพ์,นันทวรรณ ชาญวิชา
ช่องทางการติดต่อเรื่องวารสารการตีพิมพ์,อีเมล nantach@kku.ac.th หรือโทร 45600
หน่วยงานหลักในการส่งเสริมนวัตกรรม,หน่วยส่งเสริมวิจัยและนวัตกรรม
ผู้อำนวยการหน่วยส่งเสริมวิจัยและนวัตกรรม,จตุพร พิทักษ์พลรัตน์
ประเภทของทุนวิจัยที่มีการสนับสนุน,1. กองทุนวิจัยคณะฯ 2. ทุนวิจัยภายนอก มข. 3. ทุนวิจัยและการสนับสนุนผลงานด้านการวิจัย จาก มข.
อีเมลสำหรับติดต่องานวิจัย,sukanyawa@kku.ac.th
ลักษณะของกองทุนวิจัยคณะฯ,ทุนสนับสนุนการวิจัยภายในคณะวิศวกรรมศาสตร์
ประเภทของทุนวิจัยภายนอก มข.,ทุนสนับสนุนจากแหล่งทุนภายนอกมหาวิทยาลัยขอนแก่น
ประเภทการสนับสนุนผลงานด้านการวิจัย,การสนับสนุนการตีพิมพ์ การนำเสนอผลงาน และรางวัลนักวิจัย
" Faculty of Engineering, Khon Kaen University ",https://www.facebook.com/EngineeringKKU
ENKKU International Affairs,https://www.facebook.com/ENKKUIA
Engineering and Applied Science Research (EASR),https://www.tci-thaijo.org/index.php/easr/index
ฝ่ายวิจัยและบริการวิชาการ มข.,https://research.kku.ac.th/
กองบริหารงานวิจัย มข.,https://ora.kku.ac.th/index.asp?go2=cls
ศูนย์เครื่องมือวิจัย มหาวิทยาลัยขอนแก่น,https://ric.kku.ac.th/
Khon Kaen University – มหาวิทยาลัยขอนแก่น,https://www.kku.ac.th/?l=th
ศูนย์ทรัพย์สินทางปัญญา มหาวิทยาลัยขอนแก่น ,https://ip.kku.ac.th/
เบอร์โทรติดต่อหน่วยงานคณะ,https://www.en.kku.ac.th/web/%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B9%88%E0%B8%AD/
